-40, 48, -4, -64, -60, 90, 44, 0, -46.9459, 8.6077, 6, -77.5877, 34.3192, 6, -69.7171, 74.1515, 8, 0, 0, 0, -13.8219, 77.3166, 8, -11.6556, 74.7258, 8, 0.0697564, 0.997564, 0, 0.927184, 0.374607, 0, 0.642786, -0.766046, -0, 0, 0, 0, -0.642786, -0.766046, 0, -0.642786, -0.766046, 0, 0
-20, 48, -32, -56, -68, 90, 18, 70, -38.6326, 12.8613, -8, -60, 48, -8, -38.1435, 83.3103, 0, 0, 0, 0, 17.5877, 61.6808, -4, -14.6618, 87.3365, -3.53709, 0, -0, -1, 0.999391, 0.0348995, 0, 0.342021, -0.939692, -0, 0, 0, 0, -0.951056, -0.309017, -0, -0, -1, 0, 0
0, 48, -70, -14, -90, 70, 14, 90, -37.5877, 34.3192, 0, -40, 48, -8, 0, 0, 0, 37.5877, 34.3192, -4, 40, 48, -8, 0, 0, 0, 0.939693, 0.34202, 0, 0.994522, 0.104529, 0, 0, 0, 0, -0.939693, 0.34202, 0, -0.994522, 0.104529, 0, 0, 0, 0, 0
20, 48, -90, -18, -70, 32, 56, 68, 0, 0, 0, -17.5877, 61.6808, -8, 14.7364, 87.3559, 0, 40, 13.359, -4, 60, 48, -4, 38.3241, 83.251, 0, 0, 0, 0, 0.951056, -0.309017, 0, -0, -1, 0, -0.529919, 0.848048, 0, -0.999391, 0.0348995, 0, -0.662396, -0.749154, 0, 0
40, 48, -90, -44, 0, 4, 64, 60, 0, 0, 0, 13.8597, 77.4887, 0, 12.8945, 76.6788, -8, 46.9459, 8.6077, -4, 77.5877, 34.3192, -4, 69.6881, 74.5118, 0, 0, 0, 0, 0.930405, -0.366532, 0, 0, 0, -1, -0.0697564, 0.997564, 0, -0.927184, 0.374607, 0, -0.936565, -0.350493, 0, 0
-40, 68, -42, 0, -90, 90, 32, 0, -59.8039, 33.2876, 0, -56.7993, 32.194, -8, 0, 0, 0, 0, 0, 0, -4.86044, 85.9211, 0, -9.3582, 93.7115, -4, 0.333807, 0.942641, 0, 0, -0, -1, 0, 0, 0, 0, 0, 0, -0.968126, -0.250462, 0, -0.848048, -0.529919, -0, 0
-20, 68, -58, 0, -90, 90, 10, 46, 0, 0, 0, -57.5877, 54.3192, -8, 0, 0, 0, 0, 0, 0, 17.5877, 81.6808, -4, 0, 102.641, 0, 0, 0, 0, 0.848048, 0.529919, 0, 0, 0, 0, 0, 0, 0, -0.984808, -0.173648, -0, -0.559193, -0.829038, -0, 0
0, 68, -78, 0, -78, 78, 0, 78, 0, 0, 0, -39.6713, 69.864, -0.332028, -21.4242, 101.446, 0, 0, 0, 0, 40, 68, -4, 21.5736, 101.321, 0, 0, 0, 0, -0, -0, -1, 0.917094, -0.398672, 0, 0, 0, 0, -0.978148, 0.207912, 0, -0.917094, -0.398672, 0, 0
20, 68, -90, -10, -46, 58, 0, 90, 0, 0, 0, -17.5877, 81.6808, 0, 0, 102.641, 0, 0, 0, 0, 57.5877, 54.3192, -4, 0, 0, 0, 0, 0, 0, 0.984808, -0.173648, 0, 0.559193, -0.829038, 0, 0, 0, 0, -0.848048, 0.529919, 0, 0, 0, 0, 0
40, 68, -90, -32, 0, 42, 0, 90, 0, 0, 0, 4.95119, 86.0783, 0, 9.3582, 93.7115, -8, 61.0433, 34.2344, 0, 70.6418, 42.2885, -4, 0, 0, 0, 0, 0, 0, 0.968126, -0.250462, 0, 0.848048, -0.529919, 0, 0.0961316, 0.995369, 0, -0.669131, 0.743145, 0, 0, 0, 0, 0
-40, 88, -54, 0, -48, 90, 24, 0, 0, 0, 0, -70.6418, 62.2885, 0, -77.5877, 101.681, 0, 0, 0, 0, 0, 0, 0, -2.4123, 101.681, -4, 0, 0, 0, 0.809017, 0.587785, 0, 0.978148, -0.207912, 0, 0, 0, 0, 0, 0, 0, -0.913545, -0.406737, -0, 0
-20, 88, -66, 0, -50, 90, 6, 8, 0, 0, 0, -57.5877, 74.3192, 0, -57.5877, 101.681, 0, 0, 0, 0, 20, 88, -4, 17.5877, 101.681, -4, 0, 0, 0, 0.913546, 0.406737, 0, 0.898794, -0.438371, 0, 0, 0, 0, -0.994522, -0.104528, -0, -0.970296, -0.241922, -0, 0
0, 88, -82, 0, 0, 82, 0, 0, 0, 0, 0, -40, 88, 0, -38.5183, 96.4031, -8, 0, 0, 0, 40, 88, -4, 38.4385, 96.1791, -8, 0, 0, 0, 0.990268, 0.139173, 0, 0, 0, -1, 0, 0, 0, -0.990268, 0.139173, 0, -0.984808, -0.173649, 0, 0
20, 88, -90, -6, -8, 66, 0, 50, 0, 0, 0, -20, 88, 0, -17.5877, 101.681, -8, 0, 0, 0, 57.5877, 74.3192, -4, 57.5877, 101.681, -4, 0, 0, 0, 0.994522, -0.104528, 0, 0.970296, -0.241922, 0, 0, 0, 0, -0.913545, 0.406737, 0, -0.898794, -0.438371, -0, 0
40, 88, -90, -24, 0, 54, 0, 48, 0, 0, 0, 0, 0, 0, 2.53713, 101.897, 0, 0, 0, 0, 77.5877, 74.3192, -4, 77.5877, 101.681, -4, 0, 0, 0, 0, 0, 0, 0.913545, -0.406737, 0, 0, 0, 0, -0.809017, 0.587785, 0, -0.978148, -0.207912, -0, 0
-40, 108, -62, 0, 0, 90, 20, 0, 0, 0, 0, -74.9818, 89.8057, 0, -78.8272, 101.349, 0, 0, 0, 0, 0, 0, 0, -2.4123, 121.681, 0, 0, 0, 0, 0.334068, 0.942549, 0, 0.882948, 0.469472, 0, 0, 0, 0, 0, 0, 0, -0.675935, 0.736961, 0, 0
-40, 108, -62, 0, 0, 90, 20, 0, 0, 0, 0, -74.9818, 89.8057, 0, -78.8272, 101.349, 0, 0, 0, 0, 0, 0, 0, -2.4123, 121.681, 0, 0, 0, 0, 0.334068, 0.942549, 0, 0.882948, 0.469472, 0, 0, 0, 0, 0, 0, 0, -0.675935, 0.736961, 0, 0
